id_web;producto;precio_web;pvps_excel;diferencia_pct
10130;BORAX 10 GR 20 SBS DISANFER;15000;{'BOLSA': 700};-2043%
30028;BRISA AGUA PURA 600 ML;24000;{'CANASTA': 48000, 'BOTELLA': 1600};-1400%
10373;LOMOTIL 2.5 MG 12 CAJAS X 4 TABLETAS;82000;{'CAJA': 8500};-865%
10228;BETAMETASONA 8 MG 2 ML 10 AMPOLLAS GF;35000;{'AMPOLLA': 5500};-536%
30026;GASEOSA COCA - COLA  250ML;10800;{'CANASTA': 21600, 'BOTELLA': 2000};-440%
30041;GASEOSA SPRITE 400ML;12000;{'CANASTA': 24000, 'BOTELLA': 2600};-362%
30023;AGUA BRISA SABORES SURT 600ML PET;8100;{'CANASTA': 16200, 'BOTELLA': 2600};-212%
30019;BEBIDA HIDRATANTE POWERADE SURT  X 6 UNDS;11200;{'CANASTA': 22000, 'BOTELLA': 3900};-187%
30024;JUGO DEL VALLE FRESH SURT 400ML;5400;{'CANASTA': 21600, 'BOTELLA': 2000};-170%
20370;OFT DTE REXONA SPRAY V8 150ML X 2 UNDS;42000;{'FRASCO': 17500, 'PAR': 29900};-40%
50091;POLVO KALOE TONO ALMENDRA  NUM 1;11500;{'CAJA': 18200};37%
20241;CREMA  HIDRATANTE MOISTURIZING BLANCA;34000;{'CAJA': 47600};29%
10220;CLINDAMICINA CREMA VAGINAL 40 GR MK;30200;{'CAJA': 42000};28%
30064;AGUA SABORIZADA BRISA PEQUEÑA 280ML SURT;18000;{'CANASTA': 22500, 'BOTELLA': 1500};20%
10303;DOXICICLINA 100 MG 10 TABLETAS;8800;{'CAJA': 9800};10%
